Country,Amount,Date
"Saudi Arabia","60.00",2014
"Angola","21.50",2014
"Switzerland","20.21",2014
"Norway","18.14",2014
"Japan","17.67",2014
"Sweden","16.83",2014
"Faroe Islands","16.47",2014
"Denmark","16.47",2014
"Finland","16.39",2014
"Australia","15.19",2014
"British Virgin Islands","15.00",2014
"Senegal","15.00",2014
"New Zealand","13.38",2014
"United Kingdom","13.30",2014
"Guernsey","13.30",2014
"Jersey","13.30",2014
"Cayman Islands","12.60",2014
"Ireland","12.43",2014
"Germany","12.29",2014
"Belgium","12.29",2014
"Austria","12.29",2014
"France","12.29",2014
"Netherlands","12.29",2014
"Reunion","12.29",2014
"China","12.23",2014
"Luxembourg","12.02",2014
"Bermuda","12.00",2014
"Venezuela","12.00",2014
"Papua New Guinea","11.54",2014
"Cyprus","10.92",2014
"Spain","10.92",2014
"Greece","10.92",2014
"Italy","10.92",2014
"Iceland","10.81",2014
"Israel","10.80",2014
"Canada","10.79",2014
"Kuwait","10.65",2014
"Aruba","10.50",2014
"United States","10.00",2014
"Cameroon","10.00",2014
"Rwanda","10.00",2014
"Barbados","10.00",2014
"Jordan","9.89",2014
"Hong Kong","9.66",2014
"Qatar","9.61",2014
"Malta","9.56",2014
"United Arab Emirates","9.53",2014
"Nigeria","9.45",2014
"Iraq","9.31",2014
"Jamaica","9.29",2014
"Mozambique","9.27",2014
"Taiwan","8.91",2014
"Uruguay","8.89",2014
"Singapore","8.68",2014
"Azerbaijan","8.46",2014
"South Korea","8.41",2014
"Gibraltar","8.31",2014
"Russia","8.30",2014
"Andorra","8.19",2014
"Portugal","8.19",2014
"Slovakia","8.19",2014
"Argentina","8.00",2014
"Lebanon","8.00",2014
"Bahrain","7.96",2014
"Estonia","7.85",2014
"Trinidad and Tobago","7.83",2014
"Latvia","7.79",2014
"Oman","7.79",2014
"Ghana","7.73",2014
"Brazil","7.65",2014
"Slovenia","7.51",2014
"Belize","7.50",2014
"Czech Republic","7.48",2014
"Poland","7.18",2014
"Lithuania","7.12",2014
"Chile","7.09",2014
"Kazakhstan","7.05",2014
"Puerto Rico","7.00",2014
"The Bahamas","7.00",2014
"Mauritius","6.96",2014
"Georgia","6.88",2014
"Bulgaria","6.86",2014
"Cape Verde","6.83",2014
"Grenada","6.74",2014
"Costa Rica","6.70",2014
"Saint Lucia","6.67",2014
"Hungary","6.58",2014
"Brunei","6.31",2014
"Turkey","6.27",2014
"Gabon","6.24",2014
"Romania","6.07",2014
"Kenya","6.00",2014
"Paraguay","6.00",2014
"Suriname","6.00",2014
"Tanzania","6.00",2014
"Uganda","5.97",2014
"Croatia","5.89",2014
"Maldives","5.68",2014
"Morocco","5.54",2014
"Zambia","5.50",2014
"Moldova","5.50",2014
"Peru","5.33",2014
"Dominican Republic","5.12",2014
"Nicaragua","5.00",2014
"Ukraine","5.00",2014
"Bolivia","5.00",2014
"Uzbekistan","5.00",2014
"El Salvador","5.00",2014
"Ecuador","5.00",2014
"Afghanistan","5.00",2014
"Madagascar","5.00",2014
"Albania","4.95",2014
"Guatemala","4.91",2014
"Thailand","4.90",2014
"Colombia","4.86",2014
"Montenegro","4.78",2014
"Pakistan","4.76",2014
"South Africa","4.63",2014
"Mexico","4.50",2014
"Sudan","4.50",2014
"Panama","4.50",2014
"Botswana","4.49",2014
"Mongolia","4.49",2014
"Libya","4.38",2014
"Egypt","4.31",2014
"Vietnam","4.27",2014
"Syria","4.24",2014
"Kyrgyzstan","4.24",2014
"Serbia","4.17",2014
"Namibia","4.15",2014
"Armenia","4.12",2014
"Bosnia and Herzegovina","4.10",2014
"Belarus","4.00",2014
"Mali","4.00",2014
"Yemen","4.00",2014
"Cambodia","4.00",2014
"Democratic Republic of the Congo","3.92",2014
"Indonesia","3.87",2014
"Algeria","3.86",2014
"Philippines","3.81",2014
"Malaysia","3.66",2014
"Swaziland","3.61",2014
"Honduras","3.50",2014
"Ethiopia","3.50",2014
"Fiji","3.46",2014
"Republic of Macedonia","3.32",2014
"Seychelles","3.29",2014
"India","3.22",2014
"Bangladesh","3.22",2014
"Tunisia","3.15",2014
"Nepal","3.02",2014
"Sri Lanka","3.00",2014
"Zimbabwe","3.00",2014
"Burma","2.95",2014
"Guyana","2.50",2014
"Haiti","2.50",2014
"Iran","2.50",2014
"Lesotho","2.31",2014
"Laos","2.00",2014
"Cuba","0.06",2014
