"movie_odid","display_name","franchise"
"20100","The Dark Knight","Batman"
"20100","The Dark Knight","Dark Knight Trilogy"
"30100","Star Wars Ep. IV: A New Hope","Star Wars"
"40100","Shrek 2","Shrek"
"60100","Star Wars Ep. I: The Phantom Menace","Star Wars"
"70100","Pirates of the Caribbean: Dead Man’s Chest","Pirates of the Caribbean"
"80100","Spider-Man","Spider-Man"
"90100","Transformers: Revenge of the Fallen","Transformers"
"100100","Star Wars Ep. III: Revenge of the Sith","Star Wars"
"110100","The Lord of the Rings: The Return of the King","Peter Jackson's Lord of the Rings"
"120100","Spider-Man 2","Spider-Man"
"140100","Jurassic Park","Jurassic Park"
"150100","The Lord of the Rings: The Two Towers","Peter Jackson's Lord of the Rings"
"160100","Finding Nemo","Finding Nemo"
"170100","Spider-Man 3","Spider-Man"
"190100","The Lion King","The Lion King"
"200100","Shrek the Third","Shrek"
"210100","Transformers","Transformers"
"220100","Iron Man","Iron Man"
"220100","Iron Man","Marvel Cinematic Universe"
"230100","Harry Potter and the Sorcerer’s Stone","Harry Potter"
"240100","Indiana Jones and the Kingdom of the Crystal Skull","Indiana Jones"
"250100","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson's Lord of the Rings"
"260100","Star Wars Ep. II: Attack of the Clones","Star Wars"
"270100","Pirates of the Caribbean: At World’s End","Pirates of the Caribbean"
"280100","Star Wars Ep. VI: Return of the Jedi","Star Wars"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean"
"310100","Harry Potter and the Half-Blood Prince","Harry Potter"
"330100","Harry Potter and the Order of the Phoenix","Harry Potter"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Chronicles of Narnia"
"360100","Star Wars Ep. V: The Empire Strikes Back","Star Wars"
"370100","Harry Potter and the Goblet of Fire","Harry Potter"
"380100","Home Alone","Home Alone"
"390100","The Matrix Reloaded","Matrix"
"400100","Meet the Fockers","Meet the Parents"
"410100","The Hangover","Hangover"
"420100","Shrek","Shrek"
"430100","Harry Potter and the Chamber of Secrets","Harry Potter"
"440100","The Incredibles","The Incredibles"
"460100","Jaws","Jaws"
"470100","Star Trek","Star Trek"
"490100","Monsters, Inc.","Monsters, Inc."
"500100","Batman","Batman"
"510100","Night at the Museum","Night at the Museum"
"520100","Men in Black","Men in Black"
"530100","Harry Potter and the Prisoner of Azkaban","Harry Potter"
"540100","Toy Story 2","Toy Story"
"550100","Raiders of the Lost Ark","Indiana Jones"
"560100","Cars","Cars"
"570100","Bruce Almighty","Bruce Almighty"
"590100","My Big Fat Greek Wedding","My Big Fat Greek Wedding"
"600100","Ghostbusters","Ghostbusters"
"610100","Beverly Hills Cop","Beverly Hills Cop"
"620100","X-Men: The Last Stand","X-Men"
"650100","The Lost World: Jurassic Park","Jurassic Park"
"670100","Hancock","Hancock"
"680100","The Bourne Ultimatum","Bourne"
"690100","Rush Hour 2","Rush Hour"
"710100","National Treasure: Book of Secrets","National Treasure"
"730100","King Kong","King Kong"
"750100","The Da Vinci Code","Da Vinci Code"
"770100","Alvin and the Chipmunks","Alvin and the Chipmunks"
"790100","Kung Fu Panda","Kung Fu Panda"
"800100","Mission: Impossible 2","Mission: Impossible"
"810100","X-Men 2","X-Men"
"820100","Austin Powers in Goldmember","Austin Powers"
"840100","Back to the Future","Back to the Future"
"880100","Austin Powers: The Spy Who Shagged Me","Austin Powers"
"890100","Batman Begins","Batman"
"890100","Batman Begins","Dark Knight Trilogy"
"900100","Terminator 2: Judgment Day","Terminator"
"910100","The Exorcist","Exorcist"
"920100","The Mummy Returns","Mummy"
"940100","Superman Returns","Superman"
"990100","Indiana Jones and the Last Crusade","Indiana Jones"
"1000100","Ice Age: The Meltdown","Ice Age"
"1010100","Ice Age: Dawn of the Dinosaurs","Ice Age"
"1020100","Madagascar","Madagascar"
"1030100","Toy Story","Toy Story"
"1040100","Twilight","Twilight"
"1050100","Men in Black 2","Men in Black"
"1110100","Batman Forever","Batman"
"1130100","Ocean's Eleven","Ocean's Eleven"
"1170100","Grease","Grease"
"1190100","Jurassic Park III","Jurassic Park"
"1220100","Planet of the Apes","Planet of the Apes"
"1230100","Madagascar: Escape 2 Africa","Madagascar"
"1240100","Indiana Jones and the Temple of Doom","Indiana Jones"
"1250100","X-Men Origins: Wolverine","X-Men"
"1250100","X-Men Origins: Wolverine","Wolverine"
"1290100","Night at the Museum: Battle of the Smithsonian","Night at the Museum"
"1300100","Top Gun","Top Gun"
"1320100","Ice Age","Ice Age"
"1330100","The Bourne Supremacy","Bourne"
"1350100","Home Alone 2: Lost in New York","Home Alone"
"1360100","Elf","Elf"
"1370100","National Treasure","National Treasure"
"1410100","The Matrix","Matrix"
"1420100","Beauty and the Beast","Beauty and the Beast"
"1460100","Quantum of Solace","James Bond"
"1490100","Casino Royale","James Bond"
"1500100","Meet the Parents","Meet the Parents"
"1530100","Hannibal","Hannibal Lecter"
"1570100","Batman Returns","Batman"
"1620100","Die Another Day","James Bond"
"1670100","X-Men","X-Men"
"1680100","Scary Movie","Scary Movie"
"1710100","The Mummy","Mummy"
"1720100","Fast & Furious","Fast and the Furious"
"1740100","Fantastic Four","Fantastic Four"
"1790100","Scooby-Doo","Scooby-Doo"
"1810100","Sex and the City","Sex and the City"
"1840100","Terminator 3: Rise of the Machines","Terminator"
"1880100","Gremlins","Gremlins"
"1910100","G.I. Joe: The Rise of Cobra","G.I. Joe"
