"movie_odid","display_name","keyword"
"10100","Titanic","Visual Effects"
"10100","Titanic","Disaster"
"10100","Titanic","Cross-Class Romance"
"10100","Titanic","Romance"
"10100","Titanic","Same Role, Multiple Actors"
"10100","Titanic","3-D"
"10100","Titanic","3D Re-release"
"10100","Titanic","Inspired by a True Story"
"10100","Titanic","Relationships Gone Wrong"
"10100","Titanic","Immigration"
"10100","Titanic","Suicide"
"10100","Titanic","Love Triangle"
"10100","Titanic","Voiceover/Narration"
"10100","Titanic","Artists"
"10100","Titanic","Underwater"
"10100","Titanic","Prologue"
"10100","Titanic","Non-Chronological"
"10100","Titanic","Treasure Hunters"
"10100","Titanic","IMAX: DMR"
"10100","Titanic","Oscars Best Picture Winner"
"10100","Titanic","Motion Capture Performance"
"10100","Titanic","filmed in Dartmouth, Nova Scotia"
"10100","Titanic","Filmed in Nova Scotia, Canada"
"10100","Titanic","Filmed in Canada"
"10100","Titanic","Filmed in Fox Baja Studios"
"10100","Titanic","Filmed in Rosarito, Mexico"
"10100","Titanic","Filmed in Baja California, Mexico"
"10100","Titanic","Filmed in Mexico"
"10100","Titanic","Filmed in the R/V Akademik Mstislav Keldysh"
"10100","Titanic","Filmed in SS Jeremiah O’Brien, San Francisco, CA"
"10100","Titanic","Filmed in San Francisco, CA"
"10100","Titanic","Filmed in California, United States"
"10100","Titanic","Filmed in United States"
"10100","Titanic","Filmed in Hughes Aircraft studio, Playa Vista, CA"
"10100","Titanic","Filmed in Playa Vista, CA"
"10100","Titanic","Filmed in Los Angeles County, CA"
"10100","Titanic","Filmed in Belmont Plaza Olympic Pool, Long Beach, CA"
"10100","Titanic","Filmed in Long Beach, CA"
"10100","Titanic","Filmed in Halifax, Nova Scotia, Canada"
"10100","Titanic","Filmed in Titanic wreck, Atlantic Ocean"
"10100","Titanic","Filmed in Atlantic Ocean"
"10100","Titanic","Romantic Drama"
"20100","The Dark Knight","D.C. Comics"
"20100","The Dark Knight","Film Noir"
"20100","The Dark Knight","Mental Illness"
"20100","The Dark Knight","Visual Effects"
"20100","The Dark Knight","IMAX: DMR"
"20100","The Dark Knight","Posthumous Release"
"20100","The Dark Knight","Filmed in Chicago, IL"
"20100","The Dark Knight","Filmed in Illinois, United States"
"20100","The Dark Knight","Filmed in United States"
"20100","The Dark Knight","Filmed in Pinewood Studios, Buckinghamshire, England"
"20100","The Dark Knight","Filmed in Buckinghamshire England"
"20100","The Dark Knight","Filmed in England"
"20100","The Dark Knight","Filmed in United Kingdom"
"20100","The Dark Knight","Filmed in Hong Kong, China"
"20100","The Dark Knight","Filmed in China"
"20100","The Dark Knight","Filmed in Sears Tower, Chicago, IL"
"20100","The Dark Knight","Filmed in Navy Pier, Chicago, IL"
"20100","The Dark Knight","Filmed in 330 North Wabash, Chicago, IL"
"20100","The Dark Knight","Filmed in James R. Thompson Center, Chicago, IL"
"20100","The Dark Knight","Filmed in Trump International Hotel and Tower, Chicago, IL"
"20100","The Dark Knight","Filmed in LaSalle Street, Chicago, IL"
"20100","The Dark Knight","Filmed in The Berghoff restaurant, Chicago, IL"
"20100","The Dark Knight","Filmed in Randolph Street Station, Chicago, IL"
"20100","The Dark Knight","Filmed in Brach’s Factory, Chicago, IL"
"20100","The Dark Knight","Filmed in Van Buren Street post office, Chicago, IL"
"20100","The Dark Knight","Filmed in Chertsey, Surrey, England"
"20100","The Dark Knight","Filmed in Surrey, England"
"20100","The Dark Knight","Filmed in Criterion Restaurant, Picadilly Circus, London, England"
"20100","The Dark Knight","Filmed in Picadilly Circus, London, England"
"20100","The Dark Knight","Filmed in London, England"
"20100","The Dark Knight","Filmed in Battersea Power Station, London, England"
"20100","The Dark Knight","Filmed in International Finance Centre, Hong Kong, China"
"20100","The Dark Knight","Filmed in Central to Mid-Levels covered escalator, Hong Kong, China"
"30100","Star Wars Ep. IV: A New Hope","Visual Effects"
"30100","Star Wars Ep. IV: A New Hope","Space Opera"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Elstree Studios, Hertfordshire, England"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Hertfordshire, England"
"30100","Star Wars Ep. IV: A New Hope","Filmed in England"
"30100","Star Wars Ep. IV: A New Hope","Filmed in United Kingdom"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Shepperton Studios, Surrey, England"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Surrey, England"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Van Nuys, CA"
"30100","Star Wars Ep. IV: A New Hope","Filmed in California, United States"
"30100","Star Wars Ep. IV: A New Hope","Filmed in United States"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Tozeur, Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Chott el Djerid, Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Nafta, Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Matmata, Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Hotel Sidi Driss, Tunisia"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Death Valley, CA"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Tikal, Guatemala"
"30100","Star Wars Ep. IV: A New Hope","Filmed in Guatemala"
