"movie_odid","display_name","rating","reason"
"10100","Titanic","PG-13","for disaster related peril and violence, nudity, sensuality and brief language."
"20100","The Dark Knight","PG-13","for intense sequences of violence and some menace."
"30100","Star Wars Ep. IV: A New Hope","PG","for sci-fi violence and brief mild language.\nEdited for re-rating"
"40100","Shrek 2","PG","for some crude humor, a brief substance reference and some suggestive content"
"50100","E.T. the Extra-Terrestrial","PG","NULL"
"50100","E.T. the Extra-Terrestrial","PG","for language and mild thematic elements. (2002 edited version re-release.)"
"60100","Star Wars Ep. I: The Phantom Menace","PG","for sci-fi action/violence"
"70100","Pirates of the Caribbean: Dead Man’s Chest","PG-13","for intense sequences of adventure violence, including frightening images."
"80100","Spider-Man","PG-13","for stylized violence and action."
"90100","Transformers: Revenge of the Fallen","PG-13","for intense sequences of sci-fi action violence, language, some crude and sexual material, and brief drug material."
"100100","Star Wars Ep. III: Revenge of the Sith","PG-13","for sci-fi violence and some intense images"
"110100","The Lord of the Rings: The Return of the King","PG-13","for intense epic battle sequences and frightening images"
"120100","Spider-Man 2","PG-13","for stylized action violence."
"130100","The Passion of the Christ","R","for sequences of graphic violence."
"140100","Jurassic Park","PG-13","for intense science fiction terror."
"150100","The Lord of the Rings: The Two Towers","PG-13","for epic battle sequences and scary images"
"160100","Finding Nemo","G","2012 Re-Screening"
"170100","Spider-Man 3","PG-13","for sequences of intense action violence"
"180100","Forrest Gump","PG-13","for drug content, some sensuality and war violence."
"190100","The Lion King","G","NULL"
"200100","Shrek the Third","PG","for some crude humor, suggestive content and swashbuckling action"
"210100","Transformers","PG-13","for intense sequences of sci-fi action violence, brief sexual humor, and language"
"220100","Iron Man","PG-13","for some intense sequences of sci-fi action and violence, and brief suggestive content"
"230100","Harry Potter and the Sorcerer’s Stone","PG","for some scary moments and mild language."
"240100","Indiana Jones and the Kingdom of the Crystal Skull","PG-13","for adventure violence and scary images."
"250100","The Lord of the Rings: The Fellowship of the Ring","PG-13","for epic battle sequences and some scary images."
"260100","Star Wars Ep. II: Attack of the Clones","PG","for sustained of sci-fi action/violence"
"270100","Pirates of the Caribbean: At World’s End","PG-13","for intense sequences of action/adventure violence and some frightening images"
"280100","Star Wars Ep. VI: Return of the Jedi","PG","for sci-fi action violence"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","PG-13","for action/adventure violence."
"310100","Harry Potter and the Half-Blood Prince","PG","for scary images, some violence, language and mild sensuality"
"320100","The Sixth Sense","PG-13","for intense thematic material and violent images."
"330100","Harry Potter and the Order of the Phoenix","PG-13","for sequences of fantasy violence and frightening images"
"340100","Up","PG","for some peril and action"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","PG","for battle sequences and frightening moments."
"360100","Star Wars Ep. V: The Empire Strikes Back","PG","for sci-fi action violence."
"370100","Harry Potter and the Goblet of Fire","PG-13","for sequences of fantasy violence and frightening images."
"380100","Home Alone","PG","NULL"
"390100","The Matrix Reloaded","R","for sci-fi violence and some sexuality."
"400100","Meet the Fockers","PG-13","for crude and sexual humor, language and a brief drug reference."
"410100","The Hangover","R","for pervasive language, sexual content including nudity, and some drug material."
"420100","Shrek","PG","for mild language and some crude humor"
"430100","Harry Potter and the Chamber of Secrets","PG","for scary moments, some creature violence and mild language"
"440100","The Incredibles","PG","for action violence"
"450100","How the Grinch Stole Christmas","PG","for some crude humor"
"460100","Jaws","PG","NULL"
"470100","Star Trek","PG-13","for sci-fi action and violence, and brief sexual content"
"480100","I am Legend","PG-13","for intense sequences of sci-fi action and violence"
"490100","Monsters, Inc.","G","NULL"
"500100","Batman","PG-13","NULL"
"510100","Night at the Museum","PG","for mild action, language and brief rude humor"
"520100","Men in Black","PG-13","for language and sci-fi violence"
"530100","Harry Potter and the Prisoner of Azkaban","PG","for frightening moments, creature violence and mild language."
"540100","Toy Story 2","G","NULL"
"550100","Raiders of the Lost Ark","PG","NULL"
"560100","Cars","G","NULL"
"570100","Bruce Almighty","PG-13","for language, sexual content and some crude humor."
"590100","My Big Fat Greek Wedding","PG","for sensuality and language."
"600100","Ghostbusters","PG","NULL"
"610100","Beverly Hills Cop","R",""
"620100","X-Men: The Last Stand","PG-13","for intense sequences of action violence, some sexual content and language"
"630100","War of the Worlds","PG-13","for frightening sequences of sci-fi violence and disturbing images."
"640100","Cast Away","PG-13","for some intense images and action sequences"
"650100","The Lost World: Jurassic Park","PG-13","for intense sci-fi terror and violence"
"660100","Signs","PG-13","for some frightening moments."
"670100","Hancock","PG-13","for some intense sequences of sci-fi action and violence, and language."
"680100","The Bourne Ultimatum","PG-13","for violence and intense sequences of action"
"690100","Rush Hour 2","PG-13","for action violence, language and some sexual material"
"700100","WALL-E","G","NULL"
"710100","National Treasure: Book of Secrets","PG","for some violence and action"
"730100","King Kong","PG-13","for frightening adventure violence and some disturbing images."
"740100","Ghost","PG-13",""
"750100","The Da Vinci Code","PG-13","for disturbing images, violence, some nudity, thematic material, brief drug references and sexual content."
"760100","Aladdin","G","NULL"
"770100","Alvin and the Chipmunks","PG","for some mild rude humor"
"780100","Saving Private Ryan","R","for intense prolonged realistically graphic sequences of war violence, and for language"
"790100","Kung Fu Panda","PG","for sequences of martial arts action"
"800100","Mission: Impossible 2","PG-13","for intense sequences of violent action and some sensuality."
"810100","X-Men 2","PG-13","for sci-fi action/violence, some sexuality and brief language."
"820100","Austin Powers in Goldmember","PG-13","for sexual innuendo, crude humor and language."
"840100","Back to the Future","PG",""
"850100","Wedding Crashers","R","for sexual content/nudity and language."
"860100","Charlie and the Chocolate Factory","PG","for quirky situations, action and mild language."
"870100","Ratatouille","G","NULL"
"880100","Austin Powers: The Spy Who Shagged Me","PG-13","for sexual innuendo and crude humor"
"890100","Batman Begins","PG-13","for intense action violence, disturbing images and some thematic elements."
"900100","Terminator 2: Judgment Day","R","for strong sci-fi action and violence, and for language."
"910100","The Exorcist","R","for strong language and disturbing images."
"920100","The Mummy Returns","PG-13","for adventure action and violence."
"940100","Superman Returns","PG-13","for some intense action violence"
"950100","Gone with the Wind","G","Rating is for 1971 Re-Issue"
"960100","Pearl Harbor","PG-13","for sustained intense war sequences, images of wounded, brief sensuality and some language"
"970100","Monsters vs. Aliens","PG","For sci-fi action, some crude humor and mild language"
"980100","Happy Feet","PG","for some mild peril and rude humor"
"990100","Indiana Jones and the Last Crusade","PG-13",""
"1000100","Ice Age: The Meltdown","PG","for some mild language and innuendo."
"1010100","Ice Age: Dawn of the Dinosaurs","PG","For some mild rude humor and peril"
"1020100","Madagascar","PG","for mild language, crude humor and some thematic elements"
"1030100","Toy Story","G","NULL"
"1040100","Twilight","PG-13","for some violence and a scene of sensuality"
"1050100","Men in Black 2","PG-13","for sci-fi action violence and some provocative humor"
"1060100","Gladiator","R","for intense, graphic combat"
"1070100","The Day After Tomorrow","PG-13","for intense situations of peril"
"1080100","Mr. and Mrs. Smith","PG-13","for sequences of violence, intense action, sexual content and brief strong language."
"1100100","Dances with Wolves","PG-13",""
"1110100","Batman Forever","PG-13","for strong stylized action"
"1130100","Ocean's Eleven","PG-13","for some language and sexual content"
"1140100","The Simpsons Movie","PG-13","for irreverent humor throughout"
"1150100","What Women Want","PG-13","for sexual content and language"
"1160100","The Perfect Storm","PG-13","for language and scenes of peril"
"1170100","Grease","PG","NULL"
"1180100","Liar Liar","PG-13","for sex related humor and language"
"1190100","Jurassic Park III","PG-13","for intense sci-fi terror and violence"
"1210100","The Polar Express","G","NULL"
"1220100","Planet of the Apes","PG-13","for some sequences of action/violence"
"1230100","Madagascar: Escape 2 Africa","PG","for some mild crude humor"
"1240100","Indiana Jones and the Temple of Doom","PG",""
"1250100","X-Men Origins: Wolverine","PG-13","for intense sequences of action and violence, and some partial nudity"
"1260100","Pretty Woman","R",""
"1270100","Hitch","PG-13","for language and some strong sexual references"
"1290100","Night at the Museum: Battle of the Smithsonian","PG","For mild action and brief language"
"1300100","Top Gun","PG",""
"1310100","There's Something About Mary","R","for strong comic sexual content and language"
"1320100","Ice Age","PG","for mild peril"
"1330100","The Bourne Supremacy","PG-13","for violence and intense action, and for brief language."
"1350100","Home Alone 2: Lost in New York","PG","for comic action and mild language"
"1360100","Elf","PG","for some mild rude humor and language."
"1370100","National Treasure","PG","for action violence and some scary images"
"1410100","The Matrix","R","for sci-fi violence and brief language."
"1420100","Beauty and the Beast","G","NULL"
"1430100","Tarzan","G","NULL"
"1440100","A Beautiful Mind","PG-13","for intense thematic material, sexual content and a scene of violence"
"1450100","Chicago","PG-13","for sexual content and dialogue, violence and thematic elements"
"1460100","Quantum of Solace","PG-13","for intense sequences of violence and action, and some sexual content"
"1470100","Wild Hogs","PG-13","for crude and sexual content, and some violence."
"1490100","Casino Royale","PG-13","for intense sequences of violent action, a scene of torture, sexual content and nudity"
"1500100","Meet the Parents","PG-13","for sexual content, drug references and language"
"1510100","Close Encounters of the Third Kind","PG",""
"1530100","Hannibal","R","for strong gruesome violence, some nudity and language."
"1540100","Catch Me if You Can","PG-13","for some sexual content and brief language"
"1550100","Big Daddy","PG-13","for language and some crude humor."
"1560100","The Sound of Music","G",""
"1570100","Batman Returns","PG-13","for brooding, dark violence."
"1580100","A Bug's Life","G","NULL"
"1590100","The Pursuit of Happyness","PG-13","for some language"
"1600100","The Proposal","PG-13","For sexual content, nudity and language"
"1610100","The Waterboy","PG-13","for language and some crude sexual humor."
"1620100","Die Another Day","PG-13","for action violence and sexuality"
"1630100","Shark Tale","PG","for mild language and crude humor"
"1660100","The Longest Yard","PG-13","for crude and sexual humor, violence, language and drug references."
"1670100","X-Men","PG-13","for sci-fi action violence"
"1680100","Scary Movie","R","for strong crude sexual humor, language, drug use and violence"
"1700100","What Lies Beneath","PG-13","for terror/violence, sensuality and brief language"
"1710100","The Mummy","PG-13","for pervasive adventure violence and some partial nudity"
"1720100","Fast & Furious","PG-13","for intense sequences of violence and action, some sexual content, language and drug references"
"1730100","Over the Hedge","PG","for some rude humor and mild comic action"
"1740100","Fantastic Four","PG-13","for sequences of intense action, and some suggestive content."
"1750100","Horton Hears a Who","G","for General Audiences"
"1770100","Jerry Maguire","R","for language and sexuality"
"1790100","Scooby-Doo","PG","NULL"
"1800100","101 Dalmatians","G",""
"1810100","Sex and the City","R","for strong sexual content, graphic nudity and language."
"1820100","Runaway Bride","PG","for language and some suggestive dialogue"
"1840100","Terminator 3: Rise of the Machines","R","for strong sci-fi violence and action, and for language and brief nudity"
"1850100","Knocked Up","R","for sexual content, drug use and language"
"1860100","As Good as it Gets","PG-13","on appeal for strong language, thematic elements, nudity and a beating (previously rated R)"
