"movie_odid","display_name","production_company","billing","financing","in_association_with","production"
"10100","Titanic","20th Century Fox","1","1","0","0"
"10100","Titanic","Paramount Pictures","3","1","0","0"
"10100","Titanic","Lightstorm Entertainment","2","0","0","1"
"20100","The Dark Knight","Legendary Pictures","2","1","1","0"
"20100","The Dark Knight","Warner Bros.","1","1","0","0"
"20100","The Dark Knight","Syncopy","3","0","0","1"
"30100","Star Wars Ep. IV: A New Hope","20th Century Fox","1","1","0","1"
"40100","Shrek 2","PDI","2","0","0","1"
"40100","Shrek 2","DreamWorks Animation","3","0","0","1"
"40100","Shrek 2","DreamWorks Pictures","1","1","0","0"
"50100","E.T. the Extra-Terrestrial","Universal Pictures","1","1","0","1"
"60100","Star Wars Ep. I: The Phantom Menace","Lucasfilm","2","0","0","1"
"60100","Star Wars Ep. I: The Phantom Menace","20th Century Fox","1","1","0","0"
"70100","Pirates of the Caribbean: Dead Man’s Chest","Walt Disney Pictures","1","1","0","1"
"70100","Pirates of the Caribbean: Dead Man’s Chest","Jerry Bruckheimer","2","1","1","1"
"80100","Spider-Man","Columbia Pictures","NULL","NULL","NULL","NULL"
"80100","Spider-Man","Marvel Studios","NULL","NULL","NULL","NULL"
"80100","Spider-Man","Laura Ziskin Productions","NULL","NULL","NULL","NULL"
"90100","Transformers: Revenge of the Fallen","DreamWorks Pictures","2","1","0","0"
"90100","Transformers: Revenge of the Fallen","Paramount Pictures","1","1","0","0"
"90100","Transformers: Revenge of the Fallen","Hasbro Studios","3","1","1","0"
"90100","Transformers: Revenge of the Fallen","di Bonaventura Pictures","4","0","0","1"
"90100","Transformers: Revenge of the Fallen","Tom DeSanto","5","0","0","1"
"90100","Transformers: Revenge of the Fallen","Don Murphy","6","0","0","1"
"100100","Star Wars Ep. III: Revenge of the Sith","Lucasfilm","NULL","NULL","NULL","NULL"
"110100","The Lord of the Rings: The Return of the King","Wingnut Films","1","NULL","NULL","1"
"110100","The Lord of the Rings: The Return of the King","New Line Cinema","2","1","NULL","NULL"
"120100","Spider-Man 2","Columbia Pictures","NULL","NULL","NULL","NULL"
"120100","Spider-Man 2","Marvel Studios","NULL","NULL","NULL","NULL"
"120100","Spider-Man 2","Laura Ziskin Productions","NULL","NULL","NULL","NULL"
"130100","The Passion of the Christ","Icon Productions","1","1","NULL","1"
"130100","The Passion of the Christ","Newmarket Films","2","1","1","NULL"
"140100","Jurassic Park","Universal Pictures","1","NULL","NULL","NULL"
"140100","Jurassic Park","Amblin Entertainment","2","NULL","NULL","NULL"
"150100","The Lord of the Rings: The Two Towers","Wingnut Films","NULL","NULL","NULL","NULL"
"160100","Finding Nemo","Disney-Pixar","2","0","NULL","1"
"160100","Finding Nemo","Walt Disney Pictures","1","1","NULL","NULL"
"170100","Spider-Man 3","Columbia Pictures","1","1","NULL","NULL"
"170100","Spider-Man 3","Marvel Studios","2","NULL","NULL","1"
"170100","Spider-Man 3","Laura Ziskin Productions","3","NULL","NULL","1"
"180100","Forrest Gump","Steve Tisch Productions","1","NULL","NULL","1"
"180100","Forrest Gump","Wendy Fineman Productions","2","NULL","NULL","1"
"180100","Forrest Gump","Paramount Pictures","3","1","NULL","NULL"
"190100","The Lion King","Walt Disney Pictures","1","1","0","1"
"200100","Shrek the Third","DreamWorks Animation","NULL","NULL","NULL","NULL"
