"movie_odid","display_name","production_country"
"10100","Titanic","United States"
"20100","The Dark Knight","United States"
"30100","Star Wars Ep. IV: A New Hope","United States"
"40100","Shrek 2","United States"
"50100","E.T. the Extra-Terrestrial","United States"
"60100","Star Wars Ep. I: The Phantom Menace","United States"
"70100","Pirates of the Caribbean: Dead Man’s Chest","United States"
"80100","Spider-Man","United States"
"90100","Transformers: Revenge of the Fallen","United States"
"100100","Star Wars Ep. III: Revenge of the Sith","United States"
"110100","The Lord of the Rings: The Return of the King","United States"
"110100","The Lord of the Rings: The Return of the King","New Zealand"
"120100","Spider-Man 2","United States"
"130100","The Passion of the Christ","United States"
"140100","Jurassic Park","United States"
"150100","The Lord of the Rings: The Two Towers","United States"
"150100","The Lord of the Rings: The Two Towers","New Zealand"
"160100","Finding Nemo","United States"
"170100","Spider-Man 3","United States"
"180100","Forrest Gump","United States"
"190100","The Lion King","United States"
"200100","Shrek the Third","United States"
"210100","Transformers","United States"
"220100","Iron Man","United States"
"230100","Harry Potter and the Sorcerer’s Stone","United States"
"230100","Harry Potter and the Sorcerer’s Stone","United Kingdom"
"240100","Indiana Jones and the Kingdom of the Crystal Skull","United States"
"250100","The Lord of the Rings: The Fellowship of the Ring","United States"
"250100","The Lord of the Rings: The Fellowship of the Ring","New Zealand"
"260100","Star Wars Ep. II: Attack of the Clones","United States"
"270100","Pirates of the Caribbean: At World’s End","United States"
"280100","Star Wars Ep. VI: Return of the Jedi","United States"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","United States"
"310100","Harry Potter and the Half-Blood Prince","United States"
"310100","Harry Potter and the Half-Blood Prince","United Kingdom"
"320100","The Sixth Sense","United States"
"330100","Harry Potter and the Order of the Phoenix","United States"
"330100","Harry Potter and the Order of the Phoenix","United Kingdom"
"340100","Up","United States"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","United States"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","United Kingdom"
"360100","Star Wars Ep. V: The Empire Strikes Back","United States"
"370100","Harry Potter and the Goblet of Fire","United Kingdom"
"370100","Harry Potter and the Goblet of Fire","United States"
"380100","Home Alone","United States"
"390100","The Matrix Reloaded","United States"
"390100","The Matrix Reloaded","Australia"
"400100","Meet the Fockers","United States"
"410100","The Hangover","United States"
"420100","Shrek","United States"
"430100","Harry Potter and the Chamber of Secrets","United Kingdom"
"430100","Harry Potter and the Chamber of Secrets","United States"
"440100","The Incredibles","United States"
"450100","How the Grinch Stole Christmas","United States"
"460100","Jaws","United States"
"470100","Star Trek","United States"
"480100","I am Legend","United States"
"490100","Monsters, Inc.","United States"
"500100","Batman","United States"
"510100","Night at the Museum","United States"
"520100","Men in Black","United States"
"530100","Harry Potter and the Prisoner of Azkaban","United Kingdom"
"530100","Harry Potter and the Prisoner of Azkaban","United States"
"540100","Toy Story 2","United States"
"550100","Raiders of the Lost Ark","United States"
"560100","Cars","United States"
"570100","Bruce Almighty","United States"
"590100","My Big Fat Greek Wedding","United States"
"600100","Ghostbusters","United States"
"610100","Beverly Hills Cop","United States"
"620100","X-Men: The Last Stand","United States"
"630100","War of the Worlds","United States"
"640100","Cast Away","United States"
"650100","The Lost World: Jurassic Park","United States"
"660100","Signs","United States"
"670100","Hancock","United States"
"680100","The Bourne Ultimatum","United States"
"690100","Rush Hour 2","United States"
"700100","WALL-E","United States"
"710100","National Treasure: Book of Secrets","United States"
"730100","King Kong","New Zealand"
"730100","King Kong","United States"
"740100","Ghost","United States"
"750100","The Da Vinci Code","United States"
"760100","Aladdin","United States"
"770100","Alvin and the Chipmunks","United States"
"780100","Saving Private Ryan","United States"
"790100","Kung Fu Panda","United States"
"800100","Mission: Impossible 2","United States"
"810100","X-Men 2","United States"
"820100","Austin Powers in Goldmember","United States"
"840100","Back to the Future","United States"
"850100","Wedding Crashers","United States"
"860100","Charlie and the Chocolate Factory","United States"
"870100","Ratatouille","United States"
"880100","Austin Powers: The Spy Who Shagged Me","United States"
"890100","Batman Begins","United States"
"900100","Terminator 2: Judgment Day","United States"
"910100","The Exorcist","United States"
"920100","The Mummy Returns","United States"
"940100","Superman Returns","United States"
"950100","Gone with the Wind","United States"
"960100","Pearl Harbor","United States"
"970100","Monsters vs. Aliens","United States"
"980100","Happy Feet","United States"
"990100","Indiana Jones and the Last Crusade","United States"
"1000100","Ice Age: The Meltdown","United States"
"1010100","Ice Age: Dawn of the Dinosaurs","United States"
"1020100","Madagascar","United States"
"1030100","Toy Story","United States"
"1040100","Twilight","United States"
"1050100","Men in Black 2","United States"
"1060100","Gladiator","United States"
"1070100","The Day After Tomorrow","United States"
"1080100","Mr. and Mrs. Smith","United States"
"1100100","Dances with Wolves","United States"
"1110100","Batman Forever","United States"
"1130100","Ocean's Eleven","United States"
"1140100","The Simpsons Movie","United States"
"1150100","What Women Want","United States"
"1160100","The Perfect Storm","United States"
"1170100","Grease","United States"
